trip_distance,fare_amount,tip_amount,extra,tolls_amount,total_amount,airport_fee,improvement_surcharge,congestion_surcharge,mta_tax
3.76,12.5,4.08,0.5,0.0,20.38,"",0.3,2.5,0.5
2.2,8.5,2.0,0.5,0.0,14.3,"",0.3,2.5,0.5
1.74,7.0,3.24,0.5,0.0,14.04,"",0.3,2.5,0.5
2.72,10.5,2.86,0.5,0.0,17.16,"",0.3,2.5,0.5
8.31,24.5,0.0,0.5,0.0,28.3,"",0.3,2.5,0.5
2.61,10.0,2.76,0.5,0.0,16.56,"",0.3,2.5,0.5
2.55,9.0,0.0,0.5,0.0,12.8,"",0.3,2.5,0.5
0.66,4.0,0.0,0.5,0.0,5.3,"",0.3,0.0,0.5
17.96,49.5,0.0,0.5,0.0,53.3,"",0.3,2.5,0.5
2.15,9.0,0.0,0.5,0.0,12.8,"",0.3,2.5,0.5
7.08,21.0,0.0,0.5,0.0,24.8,"",0.3,2.5,0.5
1.57,7.5,2.82,0.5,0.0,14.12,"",0.3,2.5,0.5
6.45,24.5,0.0,0.5,0.0,28.3,"",0.3,2.5,0.5
3.8,16.0,3.96,0.5,0.0,23.76,"",0.3,2.5,0.5
0.74,5.0,1.76,0.5,0.0,10.56,"",0.3,2.5,0.5
12.73,36.5,0.0,0.5,2.8,43.1,"",0.3,2.5,0.5
